********************************************************************************
LOGGING TIME: 20160410_075758
CLIENT IP: 192.168.56.1
USERNAME: Arvind
OS: Windows 8
ARCHITECTURE: amd64
VERSION: 6.2
RESOLUTION: 1366.0 768.0
********************************************************************************
MR, 1, 1460288880749
MC, 1, 0
MM, 351.105, 754.976, 0
MM, 357.106, 733.984, 13
MM, 369.905, 688.124, 12
MM, 381.084, 643.774, 12
MM, 394.928, 596.332, 13
MM, 403.069, 562.635, 12
MM, 411.923, 532.290, 12
MM, 418.057, 506.524, 13
MM, 423.119, 488.101, 12
MM, 427.174, 476.607, 13
MM, 430.227, 466.104, 12
MM, 433.192, 456.781, 13
MM, 435.162, 447.501, 12
MM, 437.055, 435.509, 13
MM, 437.005, 428.042, 12
MM, 437.730, 418.497, 12
MM, 437.414, 410.578, 13
MM, 434.532, 397.662, 11
MM, 424.676, 373.258, 13
MM, 423.769, 354.865, 321
MM, 423.894, 340.015, 13
MM, 424.052, 319.481, 12
MM, 427.128, 273.183, 12
MM, 430.904, 232.109, 14
MM, 432.076, 187.707, 11
MM, 434.040, 143.372, 13
MM, 435.948, 106.517, 12
MM, 437.985, 63.860, 12
MM, 439.057, 33.525, 12
MM, 440.932, 15.372, 13
MM, 442.001, -0.992, 12
MM, 443.096, -14.108, 13
MM, 443.981, -8.175, 12
MM, 444.880, -3.109, 11
MM, 444.948, -1.483, 13
MM, 445.111, 2.025, 49
MM, 445.121, 3.122, 12
MM, 445.137, 3.268, 14
MM, 445.083, 5.771, 41
MM, 445.068, 6.627, 2
MM, 445.039, 7.365, 7
MM, 444.978, 8.800, 12
MM, 444.913, 9.192, 13
MM, 443.935, 11.401, 12
MM, 442.945, 13.488, 13
MM, 441.974, 14.760, 11
MM, 440.987, 16.875, 12
MM, 439.998, 18.984, 13
MM, 439.036, 20.334, 12
MM, 438.968, 21.708, 12
MM, 438.028, 23.264, 14
MM, 437.972, 24.741, 12
MM, 437.020, 26.188, 11
MM, 436.034, 28.312, 14
MM, 435.961, 29.637, 12
MM, 435.045, 30.419, 12
MM, 435.016, 31.145, 13
MM, 434.948, 32.519, 12
MM, 433.049, 35.456, 12
MM, 432.048, 36.442, 12
MM, 431.966, 36.683, 13
MM, 431.027, 38.254, 12
MM, 430.976, 38.782, 12
MM, 430.027, 39.246, 13
MM, 429.030, 39.276, 24
MM, 428.954, 39.577, 37
MM, 428.053, 40.490, 39
MM, 428.046, 41.428, 11
MP, 1, 320
MR, 1, 124
MC, 1, 0
MP, 1, 1470
MR, 1, 123
MC, 1, 0
MM, 427.973, 41.606, 0
MM, 427.949, 50.266, 12
MM, 426.949, 62.269, 12
MM, 424.965, 81.496, 12
MM, 421.040, 118.575, 13
MM, 419.971, 147.580, 13
MM, 417.987, 183.814, 12
MM, 416.015, 225.214, 12
MM, 416.001, 253.017, 13
MM, 415.979, 287.698, 13
MM, 416.004, 312.062, 11
MM, 417.044, 326.629, 13
MM, 419.943, 336.179, 12
MM, 420.120, 340.728, 247
MM, 419.046, 344.663, 13
MM, 417.037, 352.542, 11
MM, 415.924, 360.908, 13
MM, 412.931, 378.009, 12
MM, 408.043, 408.626, 12
MM, 406.972, 424.592, 13
MM, 405.018, 437.262, 12
MM, 403.988, 447.820, 12
MM, 402.010, 459.152, 13
MM, 400.989, 467.842, 12
MM, 399.991, 474.877, 13
MM, 399.015, 481.214, 12
MM, 398.982, 485.747, 13
MM, 398.020, 492.291, 12
MM, 398.001, 496.011, 13
MM, 397.976, 500.647, 12
MM, 397.025, 504.359, 12
MM, 397.005, 506.068, 12
MM, 396.978, 507.687, 13
MM, 396.019, 510.276, 12
MM, 395.998, 510.967, 13
MM, 395.986, 511.793, 12
MM, 395.989, 511.839, 12
MM, 396.008, 513.118, 25
MM, 396.014, 514.198, 12
MM, 396.013, 515.185, 13
MM, 396.007, 515.103, 11
MM, 395.981, 515.722, 13
MM, 395.021, 516.301, 12
MM, 394.993, 516.906, 12
MM, 394.978, 517.677, 13
MM, 394.981, 517.725, 12
MM, 395.002, 519.030, 25
MP, 1, 593
MR, 1, 123
MC, 1, 0
MM, 393.417, 519.837, 0
MM, 393.363, 517.008, 13
MM, 393.434, 508.783, 12
MM, 392.830, 489.537, 12
MM, 393.065, 471.795, 13
MM, 393.390, 451.772, 12
MM, 391.699, 422.799, 13
MM, 390.801, 400.475, 12
MM, 390.550, 386.267, 12
MM, 387.546, 376.429, 13
MM, 385.067, 363.941, 12
MM, 382.157, 344.658, 12
MM, 377.549, 319.421, 13
MM, 361.912, 248.127, 12
MM, 325.278, 150.123, 13
MM, 299.262, 92.324, 11
MM, 284.379, 48.956, 13
MM, 278.225, 16.291, 12
MM, 276.312, 7.015, 12
MM, 273.819, 4.572, 13
MM, 273.824, 4.555, 12
MM, 272.872, 3.402, 13
MM, 271.972, 1.089, 12
MM, 271.011, -1.034, 12
MM, 269.945, -1.826, 13
MM, 270.116, -2.366, 12
MM, 268.816, 0.580, 13
MM, 266.906, 0.296, 123
MM, 265.145, -0.456, 12
MM, 262.316, 0.004, 13
MM, 256.793, 4.652, 12
MM, 252.758, 6.761, 13
MM, 249.765, 8.740, 12
MM, 249.166, 8.477, 12
MM, 246.899, 11.317, 13
MM, 245.885, 11.362, 12
MM, 246.110, 10.653, 12
MM, 244.984, 12.049, 13
MM, 243.853, 13.463, 12
MM, 242.850, 13.472, 13
MM, 243.157, 12.506, 12
MM, 240.850, 14.474, 12
MM, 241.129, 14.592, 12
MM, 238.898, 15.322, 12
MM, 239.079, 15.752, 13
MM, 237.931, 16.219, 12
MM, 238.070, 15.781, 13
MM, 236.927, 16.231, 12
MM, 236.963, 17.116, 12
MM, 236.125, 16.608, 174
MM, 235.121, 16.617, 49
MP, 1, 384
MR, 1, 124
MC, 1, 0
MM, 232.869, 17.183, 0
MM, 229.770, 17.199, 13
MM, 220.594, 17.390, 12
MM, 205.292, 17.764, 12
MM, 192.542, 14.723, 12
MM, 183.683, 8.214, 12
MM, 170.784, -1.614, 13
MM, 146.354, -5.544, 25
MM, 137.911, -3.148, 12
MM, 132.074, -0.850, 12
MM, 130.408, -2.066, 13
MM, 127.784, -0.965, 13
MM, 124.884, -0.981, 11
MM, 123.170, -1.028, 13
MP, 1, 246
MR, 1, 124
MC, 1, 0
MM, 123.836, 2.423, 0
MM, 125.103, 10.603, 13
MM, 127.033, 19.816, 11
MM, 129.346, 33.935, 13
MM, 137.277, 65.227, 12
MM, 150.985, 95.128, 12
MM, 176.437, 125.655, 13
MM, 199.907, 166.205, 12
MM, 217.261, 205.197, 13
MM, 236.876, 251.383, 12
MM, 252.284, 292.205, 12
MM, 269.016, 318.950, 13
MM, 282.602, 343.145, 12
MM, 288.999, 367.002, 13
MM, 293.997, 379.010, 12
MM, 296.828, 388.530, 12
MM, 297.727, 391.842, 12
MM, 297.545, 393.403, 13
MM, 301.781, 379.271, 494
MM, 296.146, 385.227, 12
MM, 281.063, 403.726, 12
MM, 257.620, 436.412, 25
MM, 249.547, 446.720, 13
MM, 241.694, 453.346, 12
MM, 235.284, 457.609, 12
MM, 227.771, 462.189, 13
MM, 224.233, 461.767, 12
MM, 224.856, 456.766, 13
MM, 234.216, 427.931, 61
MM, 238.675, 420.356, 12
MM, 233.199, 446.466, 36985
MM, 235.452, 445.689, 13
MM, 239.043, 443.869, 11
MM, 241.253, 443.220, 13
MM, 243.472, 442.545, 11
MM, 245.499, 442.464, 14
MM, 247.497, 442.469, 12
MM, 249.371, 442.858, 12
MM, 252.215, 444.339, 13
MM, 255.050, 444.845, 12
MM, 258.809, 446.588, 13
MM, 265.134, 446.588, 12
MM, 268.912, 448.270, 12
MM, 274.067, 448.793, 13
MM, 276.919, 450.249, 12
MM, 280.111, 449.657, 12
MM, 280.863, 451.422, 12
MM, 283.014, 451.956, 13
MM, 284.058, 451.820, 12
MM, 285.131, 451.596, 12
MM, 284.888, 452.344, 13
MM, 285.906, 452.289, 12
MM, 288.082, 451.746, 13
MM, 288.919, 452.250, 12
MM, 291.086, 451.734, 12
MM, 291.909, 452.282, 13
MM, 293.913, 452.268, 12
MM, 297.097, 451.702, 12
MM, 299.037, 450.886, 13
MM, 299.883, 450.359, 12
MM, 302.135, 448.586, 13
MM, 303.104, 447.679, 11
MM, 303.844, 447.482, 13
MM, 307.150, 444.539, 13
MM, 307.914, 445.266, 12
MM, 308.872, 445.394, 12
MM, 311.139, 444.572, 13
MM, 311.930, 445.216, 12
MM, 313.802, 445.610, 13
MM, 315.753, 445.762, 11
MM, 317.702, 445.918, 13
MM, 320.894, 449.326, 12
MM, 326.184, 462.433, 12
MM, 330.228, 483.299, 13
MM, 333.257, 507.209, 12
MM, 335.822, 541.549, 12
MM, 338.087, 565.733, 13
MM, 337.962, 586.118, 12
MM, 339.048, 607.853, 13
MM, 338.898, 627.315, 12
MM, 338.942, 642.180, 12
MM, 339.255, 651.215, 12
MM, 339.374, 660.848, 12
MM, 337.084, 668.740, 13
MM, 333.429, 676.758, 13
MM, 332.466, 679.645, 12
MM, 332.980, 678.062, 12
MM, 332.110, 677.662, 12
MM, 329.794, 674.553, 87
MM, 326.243, 674.252, 13
MM, 322.846, 671.473, 12
MM, 320.594, 669.250, 13
MM, 319.453, 667.684, 11
MM, 318.566, 661.336, 13
MM, 317.771, 652.705, 12
MM, 318.184, 643.434, 12
MM, 318.211, 638.349, 13
MM, 318.143, 634.560, 12
MM, 318.081, 630.752, 12
MM, 317.959, 628.126, 13
MM, 318.018, 624.945, 12
MM, 317.990, 624.030, 13
MM, 318.001, 622.996, 12
MM, 318.021, 621.936, 12
MM, 317.968, 622.098, 13
MM, 318.057, 620.823, 25
MM, 318.054, 620.834, 61
MM, 317.988, 621.038, 13
MM, 317.892, 620.334, 25
MM, 319.093, 619.713, 12
MM, 318.969, 620.096, 37
MM, 319.020, 618.938, 12
MM, 318.984, 618.050, 13
MM, 318.972, 616.085, 12
MM, 320.044, 615.865, 12
MM, 319.937, 615.195, 12
MM, 321.080, 614.753, 12
MM, 320.905, 615.293, 25
MP, 1, 296
MR, 1, 125
MC, 1, 0
MM, 318.000, 615.000, 0
MM, 313.000, 620.000, 13
MM, 306.000, 627.000, 12
MM, 288.000, 645.000, 13
MM, 268.000, 662.000, 12
MM, 252.000, 676.000, 13
MM, 236.000, 686.000, 12
MM, 217.000, 702.000, 12
MM, 203.000, 711.000, 13
MM, 193.000, 719.000, 12
MM, 187.000, 725.000, 12
MM, 187.000, 725.000, 18440
MM, 190.000, 722.000, 12
MM, 193.000, 718.000, 13
MM, 199.000, 711.000, 12
MM, 207.000, 702.000, 12
MM, 216.000, 692.000, 13
MM, 223.000, 685.000, 12
MM, 231.000, 677.000, 13
MM, 239.000, 669.000, 12
MM, 251.000, 657.000, 12
MM, 263.000, 645.000, 13
MM, 271.000, 638.000, 13
MM, 278.000, 632.000, 11
MM, 282.000, 629.000, 12
MM, 285.000, 627.000, 13
MM, 288.000, 624.000, 12
MM, 292.000, 621.000, 12
MM, 295.000, 619.000, 13
MM, 300.000, 615.000, 12
MM, 306.000, 610.000, 13
MM, 310.000, 607.000, 12
MM, 313.000, 604.000, 12
MM, 315.000, 603.000, 13
MM, 315.000, 603.000, 12
MM, 316.000, 602.000, 12
MM, 316.000, 603.000, 50
MM, 316.000, 603.000, 12
MM, 316.000, 603.000, 13
MM, 317.000, 604.000, 58
MM, 318.000, 605.000, 16
MM, 318.000, 610.000, 15
MM, 318.000, 611.000, 16
MM, 318.000, 612.000, 17
MM, 318.000, 613.000, 13
MM, 318.000, 613.000, 13
MM, 318.000, 614.000, 12
MM, 318.000, 614.000, 15
MP, 1, 380
MR, 1, 109
MC, 1, 0
MM, 309.955, 606.955, 0
MM, 302.174, 608.174, 13
MM, 293.708, 609.708, 12
MM, 283.530, 611.530, 13
MM, 271.325, 615.325, 12
MM, 254.441, 622.441, 13
MM, 242.172, 625.172, 12
MM, 231.696, 625.696, 12
MM, 223.118, 623.118, 13
MM, 215.283, 621.283, 11
MM, 207.481, 617.481, 13
MM, 200.589, 613.589, 12
MM, 194.691, 608.691, 12
MM, 199.953, 612.953, 14563
MM, 201.249, 613.249, 210
MM, 201.470, 613.470, 25
MM, 202.065, 613.065, 12
MM, 202.060, 613.060, 12
MM, 203.869, 610.869, 12
MM, 205.429, 608.429, 13
MM, 210.308, 602.308, 12
MM, 219.418, 591.418, 13
MM, 229.980, 578.980, 12
MM, 243.558, 563.558, 12
MM, 265.362, 540.362, 13
MM, 291.763, 513.763, 12
MM, 317.445, 489.445, 12
MM, 339.207, 471.207, 12
MM, 365.512, 451.512, 13
MM, 388.004, 437.004, 12
MM, 406.312, 428.312, 13
MM, 424.662, 418.662, 12
MM, 441.999, 408.999, 12
MM, 454.068, 404.068, 13
MM, 463.915, 399.915, 12
MM, 470.132, 399.132, 13
MM, 476.439, 397.439, 12
MM, 481.194, 397.194, 12
MM, 487.239, 396.239, 13
MM, 493.296, 395.296, 12
MM, 500.222, 394.222, 13
MM, 506.848, 392.848, 12
MM, 513.129, 391.129, 12
MM, 518.868, 388.868, 13
MM, 521.911, 387.911, 12
MM, 525.168, 386.168, 12
MM, 527.821, 384.821, 12
MM, 529.842, 383.842, 13
MM, 531.171, 383.171, 12
MM, 531.842, 382.842, 13
MM, 532.133, 383.133, 86
MM, 531.847, 384.847, 12
MM, 531.182, 388.182, 13
MM, 528.863, 393.863, 12
MM, 528.755, 397.755, 13
MM, 527.080, 402.080, 11
MM, 525.181, 406.181, 13
MM, 524.238, 408.238, 13
MM, 523.338, 409.338, 11
MM, 522.084, 410.084, 13
MM, 521.648, 409.648, 12
MM, 520.785, 409.785, 12
MP, 1, 235
MR, 1, 123
MC, 1, 0
MM, 484.032, 397.527, 0
MM, 478.176, 400.191, 13
MM, 466.411, 405.501, 12
MM, 455.059, 409.754, 12
MM, 430.746, 417.589, 13
MM, 403.991, 425.426, 11
MM, 376.126, 433.002, 13
MM, 343.180, 441.113, 12
MM, 321.424, 445.515, 13
MM, 295.948, 451.635, 12
MM, 274.438, 456.959, 13
MM, 261.717, 460.026, 12
MM, 255.149, 461.370, 13
MM, 249.032, 463.107, 12
MM, 244.441, 464.050, 12
MM, 239.646, 465.522, 13
MM, 198.359, 447.575, 26017
MM, 203.085, 445.642, 12
MM, 207.018, 444.399, 13
MM, 212.218, 442.869, 12
MM, 215.910, 442.139, 12
MM, 223.868, 440.123, 13
MM, 230.705, 439.276, 12
MM, 237.775, 437.912, 12
MM, 242.766, 437.517, 13
MM, 247.051, 437.237, 12
MM, 250.049, 437.236, 12
MM, 253.182, 437.288, 13
MM, 255.621, 437.460, 12
MM, 258.896, 437.568, 13
MM, 260.852, 437.942, 12
MM, 261.401, 439.157, 12
MM, 264.420, 439.556, 13
MM, 267.279, 440.501, 12
MM, 270.326, 442.128, 13
MM, 272.671, 444.480, 12
MM, 275.828, 445.933, 12
MM, 278.492, 448.193, 12
MM, 280.245, 451.487, 13
MM, 281.719, 455.281, 12
MM, 283.182, 459.071, 12
MM, 282.475, 463.794, 13
MM, 284.030, 466.620, 12
MM, 285.093, 468.645, 12
MM, 285.745, 469.900, 13
MM, 286.656, 470.257, 12
MM, 286.446, 471.783, 13
MM, 287.468, 472.792, 12
MM, 288.417, 474.163, 12
MM, 289.625, 476.853, 13
MM, 290.835, 478.935, 12
MM, 293.334, 480.131, 13
MM, 293.681, 481.875, 12
MM, 294.197, 483.077, 13
MM, 295.282, 484.110, 11
MM, 296.049, 486.019, 13
MM, 296.749, 487.902, 12
MM, 298.256, 489.100, 13
MM, 298.717, 490.889, 13
MM, 299.904, 491.963, 11
MM, 301.364, 493.143, 13
MM, 301.602, 494.844, 12
MM, 302.418, 495.164, 13
MM, 301.819, 495.929, 11
MM, 302.587, 495.838, 13
MM, 303.324, 496.127, 49
MM, 303.006, 497.002, 13
MM, 302.727, 497.893, 12
MM, 303.253, 498.099, 12
MM, 302.767, 498.909, 13
MM, 303.060, 499.024, 37
MM, 303.117, 499.046, 111
MM, 303.994, 498.998, 12
MM, 304.904, 498.962, 13
MM, 305.092, 499.036, 12
MM, 305.900, 498.961, 12
MM, 306.057, 499.022, 13
MM, 306.163, 499.064, 12
MM, 306.734, 498.896, 24
MM, 307.327, 498.128, 13
MM, 306.556, 497.826, 25
MM, 307.087, 498.034, 6091
